text	translation
prendere	caught, go into, to hit, let's, to bring, to involve, to get worked up, to take somebody on, to take down, to cop it, seize, to grab, to go into, to take on, to take root, run into, go, takes, take, get, puts, to grasp, put, cop it, got, to come over, to seize, to handle, to take over, capture, going, turns, to have, to charge, seizing, to strike, to take, to get a beating, had, light, to assume, steal, to set, have, to take something amiss, gone, to take up, received, sunbathe, to put on, took, to get, grab, to steal, to capture, to run into, to pick up, went, to catch, strike, turn, borrows
prendete	you take, take, do you take, you get, get, had, took, grab, you grab
prendi	you have, you take, you pick up, you capture, you grab, you get, you catch, do you take, you grasp, you gain, you seize, had, you set, gain, took, take
prendiamo	we grasp, we grab, do we get, take, we take, had, we get, took, let's
prendo	take, do I take, I get, I catch, I pick up, I am taking, get, had, have, bring, took, I take
prendono	take, they take, do they take, they grab, they seize, they catch, they set, they have, they get, they hit, they grasp, pick up, get, grasp, hit, set, had, catch, have, took, grab, they pick up
prenotazione	reservation
preoccupato	worried
professore	teacher, professor, teachers
professoressa	teacher, professor, teachers
professori	professors, teachers, professors'
pronto	ready-made, hello, quick, prompt, right, agile, quick-witted, ready, nimble, clever, prepared
prosciutto	ham
provare	to try
pulite	you clear out, wash, you clean out, you do the housework, you clean up, you clean, you wash, you clear up, clean
puoi	can, you can, you are able to, may, can you
puoi ripetere	can you repeat, could you repeat, are you able to repeat, may you repeat, can you say that again, could you say that again
purtroppo	unfortunately
può	can, she is able to, you can, he is able to, he can, she can, it can, can't
qualche	a few, some, any
qualcosa	something, anything
quale	which, what, such as, which one
quali	where, that, as, whom, such as, exactly the same, when, who, which, what, whose, just like, which ones
quando	when
quanta	how, how much, how many
quante	many, how many, how, how many do, as many, how much, what a lot of, regarding, quantum, what, concerning, as for, as much, quantity, how many does
quanti	how many, as
quanto	however much, as much as, how long, so, really, how, how much, as
quanto costa	how much is
quanto costano	how much are
quasi	nearly, near, nearest, almost, about
quattro	four
quel	that, that one, what
quell'	that, that one, those, what, those ones
quella	that, that one, those, what, those ones, that's
quello	that, one's, that one, those, what, those ones, that's
questa	this one, this, that, these, those, that's
queste	this one, this, these, these ones
questi	these, these ones, this, those, this man, this one
questo	this one, this, that, these, those, that's
qui	here
quinto	Quintus, fifth
radio	radium, radius, radio, radios, radio set, radio station, radio's
ragazza	girlfriend, child, girlfriends, skirts, girl, teenager's
ragazze	girls, girlfriends
ragazzi	boys, children, kids, guys, boyfriends
ragazzo	kid, teenager's, child, boyfriends, guy, boy, boyfriend, junior's
raggi	rays
raggio	ray, beam, radius, spoke, range
ragno	spider
raso	short
ratto	rat
razzo	rocket, missile, firework, flare, jet
regali	gifts, presents, you give away
regalo	gift
reggia	palaces
retto	right, straight, squares, square, held
ricchi	rich people, well-to-do, elaborate, wealthy, riches, copious, rich person, elaborates, rich, well off, abundant
ricetta	method, remedy, prescription, recipe, recipes
ricevimento	reception
rido	laugh, smile, chuckle, giggle, ridere
rileggi	reread
riso	rice
ristorante	restaurant
ristoranti	restore, restaurants, restaurant, refresh, diners
riunione	meeting
riunioni	meetings, reunions, meeting, gathering, reunion, gatherings
Roma	Rome
rosa	pink, romantic, rose, rosa, pink's
rossa	red
rossi	Rossi, red, rossi, reddest
rosso	red
rotta	course, break, rout, broken
rotto	broken
rumore	noise
rumori	noise, sound, din, noises
sa	know, you know, you hear, you learn, you can, you smell, you taste, does know, is able to, does he know, does she know, does it know, it is able to, she is able to, you are able to, knows, hears, he tastes, learns, hear, knew, can, she hears, smell, it learns, it tastes, learn, it smells, he knows, she learns, tastes, it hears, she smells, knows how to, she knows, she tastes, taste, are able to, he hears, he can, known, she can, smells, he learns, it can, it knows, he smells, do you know
sabato	Saturday
sabbia	sand
sai	know, you know, do you know how, do you know, you know how, you are able to, you can, you savor, you smell, you savour, you taste, knew, can, savor, smell, learn, frock, taste, savour, habits, known, you learn
salame	pepperoni
sale	(he/she/it) goes uphill, (you) rise (up), (he/she/it) moves up, (he/she/it) climbs, (he/she/it) rises up, mother wit, (you) go up, salt, sal, (he/she/it) mounts, wit, piquancy, (you) rise up, (he/she/it) surges, (you) mount, (he/she/it) rises (up), (you) move up, (you) come in, (he/she/it) comes up, (you) come up, (you) go uphill, (he/she/it) goes up, (you) surge
salve	hello
sana	(he/she/it) is healed, (he/she/it) cures, (he/she/it) balances, (he/she/it) reclaims, (he/she/it) makes up, (he/she/it) heals (up), (you) are healed, (you) reclaim, (you) heal (up), (you) make up, (you) cure, be healed, (you) balance, healthy
sanno	knows, they know, they can, knew, know how to, they are able to
scarico	dead, out of power, I unload, drainpipe, I dump
scarpa	shoe
scarpe	shoes
sci	ski, skis
sciare	to ski
scontrino	receipt
scrivania	desk, desk's
scrivere	to write
scuola	school
scusa	sorry, excuse me, pretext
scusate	you excuse, you justify, excuse me, you apologize, you say sorry, you excuse yourself
scuse	apologies
scusi	excuse me
se	if
secco	die, her, positive, (I) dry up, smarter, (I) dry out, dry, (I) dry, (I) get dry, dries, hard, smart
sedia	chair, seat, seats
sei	are you, you're, six, wouldn't, feel, you are, you’re, be, are, you've
sempre	always
senno	mind
sente	she feels like, knows, hears, know, you hear, you feel up to, hear, listens to, feels up to, she hears, smell, you feel, you know, it tastes, it smells, feel, he listens to, he knows, tastes, it hears, you feel like, listen to, feels like, heard, you listen to, she smells, it feels like, she knows, she tastes, she feels up to, you smell, taste, he hears, feel up to, she listens to, feel like, it listens to, feels, smells, he feels like, it feels, she feels, you taste, it knows, he feels, it feels up to, he smells, he feels up to, you
senti	you hear, you feel up to, you feel, feel, you feel like, listen to, heard, you smell, do you hear, listen, you taste, hear
sentire	caught, hear, to feel like, to listen to, to know, feel, to hear, to taste, heard, felt, to feel, sentiment, to feel up to, feeling, to smell, sensed, perceives
sento	I feel, I feel like, I feel up to, I listen to, I taste, I smell, I hear, hear, heard, I feel that
senza	without, except, out of
sera	evening
sette	seven
settembre	September
settimana	week
siamo	did we, feel, we've, we were, did, we are, we're, be, are, we’re
siate	be
sicuro	secure, for sure, for certain, straight, safest, reliable, safe, certain, sound, steady, sure, assured, confidently
siete	did you, are you, you're, you are, you’re, be, you've
signor	Mr.
signora	madam, ma'am, woman, lady, mrs., Ms., mrs
signore	sir
simpatica	likable, nice
simpatico	nice
sito	website
so	know, knew, I know how to, I know
soggiorno	stay, family room, living room, visited, visit
soglia	threshold, limit, threshold value, doorstep, verge, brink
soldi	money
solo	by oneself, by himself, alone, on one’s own, only, merely, mere, lonely, just, but, single, solo, lone, by yourself
sono	is, am, it's, I'm, they are, feel, they're, I am, did, have, be, are they, i’m, I have, are, am I, they've
sono le	it's
sorella	sister
souvenir	souvenirs, souvenir, mementos
spagnolo	Spaniard, Spanish
spaventoso	frightening, spooky, ugly, scary
spazzatura	trash
specchio	mirror
specie	kind, kinds
spendere	go, gone, spend, went, going
spesso	often
sporco	lousy, dirty, cheap, I dirty, I make dirty, dirtiest, mark, used, smudged, I get dirty, soil, litter
sport	sport, sports
sposa	it gets married, you embrace, you get married, it embraces, she marries, you go well, it marries, he embraces, it marries off, you marry off, he goes well, bride, he gets married, it goes well, she marries off, she gets married, you marry, he marries, she embraces, she goes well
sposo	groom
squalo	shark, shark's
stadio	stadium
stanco	tired, I grow tired, I get tired, overtired
stanza	room
stanze	rooms
stare	fits, stay, let's, being, wasn't, kept, fit, stayed, were, to stay, they're, we're, keep, be, lies, was, you're
stasera	tonight
statua	statue, statue's
stazione	station
stiamo	stay, we’re, we've been, we are, we're, be, are, we've
stivali	boots
sto	stay, I stay, fit, I feel, I am, I am feeling, be, I'm
sto bene	I'm fine
storia	history
straccio	rag
strano	peculiar, weird, strange, stranger, goofy, strange thing, odd, weirdest, weirder
strappi	rip
stressante	stressful
studi	she studies, studied, survey, he studies, study, you study, practice, do you study, research, office, you examine, studying
studia	she studies, it examines, studies, he studies, study, she examines, you study, he examines, you examine, analyzes
studiamo	consider, we deal with, we work out, we think up, we examine, we study, study
studiare	to study
studiate	study, do you study, you study
studio	work, I study, studied, I examine, study, worked, studying, lawyer's
su	fits, on to, on top of, fit, upwards, onto, upon, around, come on, upstairs, up, approximately, up and down, on, over, about, above, more or less, to, to and fro, out of, in, after, ons
sua	her, his, hers, its, your
subito	immediately
suo	his own, his, her, your, hers, yours, its, their own
suolo	ground's, earth, soil, floor's
suonare	mean, beat, playing, go, perform, play, played, going, to sound, gone, rings, ring, to play, went, strike, performs
suono	I play, noises, sound, play
svizzera	Switzerland, Swiss, hamburger, Swiss Guard
svizzero	Swiss
svuoto	(I) empty, (I) scoop out, (I) deprive, (I) drain, clear
sì	yes
tacco	heel, heel height, heel type, heel shape, heeled shoe
tagli	stop, break, cut, mow
taglia	(he/she/it) cuts, (you) cut!, size, stop, break, cut, breaks
taglie	sizes
taglio	(I) cut off, style, (I) cut out, stop, break, cut, (I) cut (down), trim
tappi	stop
tavolo	table
taxi	taxis, taxi, cabs, cab, taxi's
te	to your place, in your house, to your house, you, yourself, in your place
teatro	theater
tedeschi	German, German people, Germans
tedesco	German
telefono	phone
televisione	television
ti piacciono	do you like, you like
ti piace	do you like, you like
timida	shy
timido	shy
tiramisù	tiramisu, tiramisù
tonno	tuna
torta	cake
tratto	lengths, stretch
tre	three
treno	train
triste	darker, sad, depressed
tristi	gloomy, unhappy, sad
troppo	too, overly, too much, very, excessively
trovare	to find
tu	you, you'll
tua	your, yours, 's
tuo	your, yours
tuono	thunder, rumble, sound, roar
tutto	everything
tè	tea, teas
uccello	bird, birds
uffa	Ugh, ugh
ufficio	office
un	a, an, one
un altro	another
un'	an, a, each, someone, one, you, somebody
un'altra	another, one more, one other
una	one, an, a, one o'clock
undici	eleven
università	university
uno	an, a, someone, one, 1
uomo	man
uova	eggs
uovo	egg
usa	she runs, she is used to, USA, she uses, he uses, wears, it is used to, it runs, you use, United States, he runs, he exercises, use, she exercises, you are used to, be in the habit of, you exercise, it exercises, he is used to, you run, it uses, exercise, be used to, uses
uscire	walks, appear, got, go out, exits, going, walk, to go out, came, going out, let's
uso	I run, I use, used, I exercise, exercise, uses, customs
utile	handy, profit, income, earnings, convenient, useful, helpful, advantage, expedient
va	must be, fit, does he go, is going, goes, does she go, has to be, does it go
va bene	OK
vacche	cows
vado	I leave, I run fast, I go back, I get ahead, I come down, I go forward, I go too far, I increase, I go badly, I rise, I fall, fit, I pass away, I'm going, I work, go, let, I get down, Do I go, going, I go down, I go away, I get away, I get back, I run slow, I go along, I wind up, I go out, gone, I go off, I go on, I am going, I go up, I decrease, I lead, went, I finish up, I go
vai	go, you go, you are going, you're going, fit, going, gone, went, do you go
vanno	they go out, they run slow, they increase, fit, they go on, they run fast, they go forwards, they go away, they go up, go, let, they go, they are bound, they go forward, they go along, they fall, they rise, they pass away, they go badly, they lead, they get ahead, going, they keep going, they work, they go down, they decrease, they are slow, they go back, they wind up, they finish up, gone, they go too far, they go off, they get back, they get away, went, they leave
vecchia	old
vecchio	old
vede	sees, it sees, she sees, he sees, he sees oneself, it sees oneself, she sees oneself, it meets, he meets, she meets, it imagines, it shows off, saw, view, you look through, he tries, he shows off, she watches, she consults, she imagines, she shows off, it consults, he imagines, tell, you see oneself, it visits, you watch, he visits, it looks over, tells, it tries, you meet, he looks through, see, you visit, you look over, she looks through, she looks over, it looks through, you consult, he consults, she visits, seen, you try, she tries, it watches, you show off, you see, he watches, views, he looks over, you imagine
vedere	to see
vedete	see, you see, do you see, you watch, you visit, you consult, you try, you imagine, you look over, you show off, show off, try, saw, view, tell, look through, watch, imagine, look over, seen, told, meet, you look through
vedi	you can see, can you see, you meet, you see, do you see, see
vedo	I meet, saw, I see, see, seen, told, I have seen
vedono	they imagine, saw, view, they consult, they see oneself, they watch, they meet, tell, they look over, they show off, see, seen, they try, they visit, told, they look through, they see
vendere	sold, carried, markets, shop, (to) sell, market, (to) to shop, stock, (to) betray, carry, sell, let's
venerdì	Friday
venire	to come
verde	green, greener
vero	haven't, positive, right, real, isn't, aren’t, true, correct, isn't it, aren't
vestiti	clothes
vi piacciono	do you like
vi piace	you like, do you like
via	starting signal, highway, away, off, owing to, because of, paths, get, road, got, streets, route, start, duct, street, way, pathway
viaggiamo	we travel, do we travel
viaggiare	to travel
viaggio	I travel, trip, run, travel, runs, journey, traveled, voyage, tour, trip's
vicina	neighbor
vicine	close to, close, close by, neighbors
vicini	neighbour, near, close to, neighbor, near at hand, neighboring, sympathetic, close, nearby, similar, neighbors, neighbouring, close by, neighbours
vicino	neighbor
vicino al	next to the, near the
vicino alla	next to the
vino	wine
viro	turn
visitare	to visit
visto	saw, watched, visa, seen, consulted, met, told, visited, see
vive	does he live, alive, you experience, he lives, she experiences, lives, it experiences, she lives, it lives, live
vivi	you live, do you live, living, alive, you experience
vivo	lively, alive, live, bright, sharp, living, acute, vivid, I live, I experience, livelier
voce	voice
voci	you shout, you yell, talk, voices, you clamour, entries
vogliamo	want, we want, do we want, we take
voglio	want, I take, I want, take
vogliono	want, they want, do they want, wants, want to
voi	you, you all, yourselves, you'll
volete	want, you want, do you want, you take, you need, you wish, you mean, you are required, you are needed, you would like, like, mean, be required, take, require, need, be needed, you require
vorrebbe	like, he'd like, he would like, would like, she would like, you would like, want, would wish, liked, wanted, she'd like
vorrebbero	like, they would like, they would wish, they would need, they would want, they would take, want, liked, they would mean
vorrei	I'd like
vorremmo	like, want, we would like, liked, we would need, we would wish, we would want, wanted, we'd like, we'd
vorresti	you would want, you would need, you would wish, wouldn't, want, you would take, you would mean, would you like, you would like, wanted, you'd
vuoi	you want, do you want, want
vuole	wants, she wants, he wants, do you want, wishes, want, you want, does she want, does he want, wants to
yoga	yoga
zaini	backpacks
zaino	backpack
zecca	tick, mint
zeri	zero, digit, zeros
zia	aunt, aunt's, auntie's
zii	uncles
zio	uncle
zona	territory, (he/she/it) zones, zone, regions, area, (you) zone, patch, neighborhood's, district, region, area's
zucca	pumpkin, squash
zucchero	sugar
zuppa	soup
è	is, he’s, it's, she is, it is, she's, you are, that's, is it, dinner's, 's, it’s, he's, is that, did, be, she’s, are, bound, pizza's, he is, that’s
è l'una	it's one
